0 0.541927
50 0.593816
100 0.599545
150 0.601784
200 0.603944
250 0.605126
300 0.599298
350 0.601303
400 0.47621
450 0.188428
500 0.193022
550 0.19222
600 0.190089
650 0.186348
700 0.180503
750 0.175744
800 0.173774
850 0.175422
900 0.178834
950 0.181321
1000 0.182478
1050 0.182719
1100 0.0787216
1150 0.0737308
1200 0.0475676
1250 0.042609
1300 0.00167587
1350 0.00102353
1400 0.00073532
1450 0.000571141
1500 0.000465388
1550 0.000391802
1600 0.000337775
1650 0.000296501
1700 0.000263986
1750 0.000237737
1800 0.000216117
1850 0.000198008
1900 0.000182625
1950 0.000169395
2000 0.000157896
2050 0.000147808
2100 0.000138885
2150 0.000130934
2200 0.000123804
2250 0.000117371
2300 0.000111538
2350 0.000106222
2400 0.000101357
2450 9.68878e-05
